 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"110001 ALTA FLORESTA D'OESTE";1832
"110002 ARIQUEMES";3242
"110003 CABIXI";91
"110004 CACOAL";8807
"110005 CEREJEIRAS";452
"110006 COLORADO DO OESTE";487
"110009 ESPIGAO D'OESTE";856
"110010 GUAJARA-MIRIM";2044
"110011 JARU";1958
"110012 JI-PARANA";6271
"110013 MACHADINHO D'OESTE";1715
"110014 NOVA BRASILANDIA D'OESTE";558
"110015 OURO PRETO DO OESTE";1588
"110018 PIMENTA BUENO";1968
"110020 PORTO VELHO";27413
"110025 PRESIDENTE MEDICI";692
"110026 RIO CRESPO";26
"110028 ROLIM DE MOURA";2094
"110029 SANTA LUZIA D'OESTE";302
"110030 VILHENA";7773
"110032 SAO MIGUEL DO GUAPORE";659
"110033 NOVA MAMORE";577
"110034 ALVORADA D'OESTE";479
"110037 ALTO ALEGRE DOS PARECIS";357
"110040 ALTO PARAISO";119
"110045 BURITIS";777
"110050 NOVO HORIZONTE DO OESTE";302
"110060 CACAULANDIA";20
"110070 CAMPO NOVO DE RONDONIA";72
"110080 CANDEIAS DO JAMARI";104
"110094 CUJUBIM";944
"110120 MINISTRO ANDREAZZA";160
"110130 MIRANTE DA SERRA";364
"110140 MONTE NEGRO";496
"110143 NOVA UNIAO";55
"110145 PARECIS";180
"110146 PIMENTEIRAS DO OESTE";52
"110148 SAO FELIPE D'OESTE";28
"110149 SAO FRANCISCO DO GUAPORE";872
"110150 SERINGUEIRAS";710
"110155 TEIXEIROPOLIS";24
"110160 THEOBROMA";71
"110170 URUPA";402
"110175 VALE DO ANARI";37
"110180 VALE DO PARAISO";126
"120001 ACRELANDIA";181
"120005 ASSIS BRASIL";381
"120010 BRASILEIA";1518
"120020 CRUZEIRO DO SUL";7136
"120030 FEIJO";500
"120033 MANCIO LIMA";314
"120034 MANOEL URBANO";306
"120035 MARECHAL THAUMATURGO";430
"120038 PLACIDO DE CASTRO";305
"120039 PORTO WALTER";202
"120040 RIO BRANCO";18342
"120042 RODRIGUES ALVES";233
"120043 SANTA ROSA DO PURUS";120
"120045 SENADOR GUIOMARD";1146
"120050 SENA MADUREIRA";862
"120060 TARAUACA";1405
"120070 XAPURI";369
"130002 ALVARAES";507
"130006 AMATURA";261
"130008 ANAMA";791
"130010 ANORI";791
"130014 APUI";497
"130020 ATALAIA DO NORTE";532
"130030 AUTAZES";696
"130040 BARCELOS";474
"130050 BARREIRINHA";971
"130060 BENJAMIN CONSTANT";1114
"130063 BERURI";636
"130068 BOA VISTA DO RAMOS";503
"130070 BOCA DO ACRE";1178
"130080 BORBA";1044
"130083 CAAPIRANGA";396
"130090 CANUTAMA";439
"130100 CARAUARI";1420
"130110 CAREIRO";1229
"130120 COARI";2783
"130130 CODAJAS";777
"130140 EIRUNEPE";846
"130150 ENVIRA";542
"130160 FONTE BOA";817
"130165 GUAJARA";318
"130170 HUMAITA";714
"130180 IPIXUNA";1254
"130185 IRANDUBA";498
"130190 ITACOATIARA";3317
"130195 ITAMARATI";586
"130200 ITAPIRANGA";283
"130210 JAPURA";281
"130230 JUTAI";824
"130240 LABREA";490
"130250 MANACAPURU";4001
"130255 MANAQUIRI";411
"130260 MANAUS";75426
"130270 MANICORE";1219
"130280 MARAA";336
"130290 MAUES";1784
"130300 NHAMUNDA";790
"130310 NOVA OLINDA DO NORTE";716
"130320 NOVO AIRAO";582
"130330 NOVO ARIPUANA";876
"130340 PARINTINS";5860
"130350 PAUINI";678
"130353 PRESIDENTE FIGUEIREDO";767
"130356 RIO PRETO DA EVA";236
"130360 SANTA ISABEL DO RIO NEGRO";396
"130370 SANTO ANTONIO DO ICA";341
"130380 SAO GABRIEL DA CACHOEIRA";1230
"130390 SAO PAULO DE OLIVENCA";1216
"130395 SAO SEBASTIAO DO UATUMA";501
"130400 SILVES";403
"130406 TABATINGA";215
"130420 TEFE";3751
"130423 TONANTINS";797
"130426 UARINI";583
"130430 URUCARA";479
"130440 URUCURITUBA";156
"140005 ALTO ALEGRE";77
"140010 BOA VISTA";18076
"140015 BONFIM";13
"140020 CARACARAI";78
"140023 CAROEBE";75
"140030 MUCAJAI";17
"140040 NORMANDIA";100
"140045 PACARAIMA";195
"140047 RORAINOPOLIS";1422
"140050 SAO JOAO DA BALIZA";194
"140060 SAO LUIZ";56
"150010 ABAETETUBA";7120
"150013 ABEL FIGUEIREDO";227
"150020 ACARA";1118
"150030 AFUA";603
"150034 AGUA AZUL DO NORTE";628
"150040 ALENQUER";3109
"150050 ALMEIRIM";1156
"150060 ALTAMIRA";6585
"150070 ANAJAS";941
"150080 ANANINDEUA";14772
"150085 ANAPU";536
"150090 AUGUSTO CORREA";2205
"150095 AURORA DO PARA";889
"150110 BAGRE";251
"150120 BAIAO";1341
"150125 BANNACH";108
"150130 BARCARENA";4467
"150140 BELEM";85376
"150145 BELTERRA";141
"150157 BOM JESUS DO TOCANTINS";575
"150170 BRAGANCA";6560
"150172 BRASIL NOVO";1474
"150175 BREJO GRANDE DO ARAGUAIA";344
"150178 BREU BRANCO";735
"150180 BREVES";5948
"150200 CACHOEIRA DO ARARI";721
"150210 CAMETA";4620
"150215 CANAA DOS CARAJAS";3272
"150220 CAPANEMA";5525
"150230 CAPITAO POCO";684
"150240 CASTANHAL";14846
"150250 CHAVES";77
"150270 CONCEICAO DO ARAGUAIA";2663
"150275 CONCORDIA DO PARA";365
"150276 CUMARU DO NORTE";521
"150277 CURIONOPOLIS";489
"150280 CURRALINHO";1157
"150290 CURUCA";1190
"150293 DOM ELISEU";829
"150295 ELDORADO DOS CARAJAS";772
"150300 FARO";261
"150304 FLORESTA DO ARAGUAIA";842
"150307 GARRAFAO DO NORTE";323
"150309 GOIANESIA DO PARA";696
"150310 GURUPA";1210
"150320 IGARAPE-ACU";659
"150330 IGARAPE-MIRI";4560
"150340 INHANGAPI";16
"150345 IPIXUNA DO PARA";2991
"150350 IRITUIA";243
"150360 ITAITUBA";4765
"150370 ITUPIRANGA";934
"150375 JACAREACANGA";757
"150380 JACUNDA";2261
"150390 JURUTI";1224
"150400 LIMOEIRO DO AJURU";710
"150405 MAE DO RIO";841
"150420 MARABA";9999
"150430 MARACANA";247
"150440 MARAPANIM";357
"150442 MARITUBA";4032
"150445 MEDICILANDIA";935
"150450 MELGACO";463
"150460 MOCAJUBA";1059
"150470 MOJU";1413
"150480 MONTE ALEGRE";2013
"150490 MUANA";1273
"150495 NOVA ESPERANCA DO PIRIA";60
"150497 NOVA IPIXUNA";75
"150503 NOVO PROGRESSO";1423
"150506 NOVO REPARTIMENTO";839
"150510 OBIDOS";1407
"150520 OEIRAS DO PARA";688
"150530 ORIXIMINA";2594
"150540 OUREM";532
"150543 OURILANDIA DO NORTE";4121
"150548 PACAJA";1575
"150549 PALESTINA DO PARA";205
"150550 PARAGOMINAS";4547
"150553 PARAUAPEBAS";6606
"150555 PAU D'ARCO";334
"150563 PICARRA";432
"150565 PLACAS";1007
"150570 PONTA DE PEDRAS";578
"150580 PORTEL";1621
"150590 PORTO DE MOZ";1195
"150600 PRAINHA";808
"150613 REDENCAO";6346
"150616 RIO MARIA";2116
"150618 RONDON DO PARA";1335
"150619 RUROPOLIS";1305
"150620 SALINOPOLIS";1658
"150630 SALVATERRA";348
"150640 SANTA CRUZ DO ARARI";291
"150650 SANTA IZABEL DO PARA";2087
"150658 SANTA MARIA DAS BARREIRAS";566
"150660 SANTA MARIA DO PARA";585
"150670 SANTANA DO ARAGUAIA";1856
"150680 SANTAREM";11254
"150700 SANTO ANTONIO DO TAUA";2964
"150715 SAO DOMINGOS DO ARAGUAIA";242
"150720 SAO DOMINGOS DO CAPIM";512
"150730 SAO FELIX DO XINGU";1697
"150745 SAO GERALDO DO ARAGUAIA";928
"150747 SAO JOAO DE PIRABAS";473
"150750 SAO JOAO DO ARAGUAIA";51
"150760 SAO MIGUEL DO GUAMA";1455
"150770 SAO SEBASTIAO DA BOA VISTA";907
"150775 SAPUCAIA";216
"150780 SENADOR JOSE PORFIRIO";337
"150790 SOURE";816
"150795 TAILANDIA";2589
"150797 TERRA SANTA";661
"150800 TOME-ACU";1867
"150803 TRACUATEUA";607
"150805 TRAIRAO";769
"150808 TUCUMA";1447
"150810 TUCURUI";4935
"150812 ULIANOPOLIS";1338
"150815 URUARA";1699
"150820 VIGIA";853
"150830 VISEU";1278
"150835 VITORIA DO XINGU";1226
"150840 XINGUARA";1744
"160005 SERRA DO NAVIO";22
"160010 AMAPA";105
"160015 PEDRA BRANCA DO AMAPARI";125
"160020 CALCOENE";142
"160023 FERREIRA GOMES";28
"160027 LARANJAL DO JARI";2537
"160030 MACAPA";25548
"160040 MAZAGAO";68
"160050 OIAPOQUE";1060
"160053 PORTO GRANDE";85
"160060 SANTANA";4298
"160070 TARTARUGALZINHO";127
"170070 ALVORADA";230
"170100 ANANAS";70
"170190 ARAGUACEMA";348
"170200 ARAGUACU";227
"170210 ARAGUAINA";15377
"170220 ARAGUATINS";274
"170230 ARAPOEMA";747
"170240 ARRAIAS";1134
"170255 AUGUSTINOPOLIS";2509
"170370 BREJINHO DE NAZARE";7
"170550 COLINAS DO TOCANTINS";994
"170610 CRISTALANDIA";4
"170700 DIANOPOLIS";886
"170710 DIVINOPOLIS DO TOCANTINS";28
"170730 DUERE";26
"170820 FORMOSO DO ARAGUAIA";406
"170900 GOIATINS";50
"170930 GUARAI";1978
"170950 GURUPI";5695
"171320 MIRACEMA DO TOCANTINS";2515
"171420 NATIVIDADE";45
"171610 PARAISO DO TOCANTINS";4463
"171620 PARANA";205
"171650 PEDRO AFONSO";709
